movie_id,genre
1060,romance
1062,biography
1062,drama
1062,history
1063,western
1064,action
1064,adventure
1064,romance
1065,drama
1065,history
1066,comedy
1067,drama
1068,comedy
1068,drama
1069,comedy
1069,romance
1070,drama
1070,romance
1071,drama
1071,romance
1071,sport
1072,comedy
1072,drama
1073,adventure
1073,comedy
1073,romance
1074,comedy
1074,short
1075,drama
1075,romance
1076,drama
1076,romance
1077,adventure
1078,adventure
1078,romance
1079,drama
1079,romance
1080,adventure
1080,comedy
1081,drama
1082,comedy
1083,comedy
1084,drama
1084,romance
1085,drama
1085,romance
1086,comedy
1086,drama
1087,adventure
1087,crime
1087,drama
1088,short
1089,comedy
1089,drama
1090,adventure
1090,comedy
1090,romance
1091,comedy
1092,drama
1092,history
1093,crime
1093,drama
1093,film-noir
1094,drama
1094,horror
1094,romance
1095,drama
1095,romance
1096,action
1096,drama
1096,romance
1097,comedy
1098,drama
1099,drama
1099,romance
1100,drama
1100,romance
1101,action
1101,adventure
1101,romance
1102,comedy
1102,drama
1103,drama
1103,mystery
1104,drama
1104,romance
1104,war
1105,adventure
1105,crime
1105,drama
1106,comedy
1106,romance
1107,drama
1108,adventure
1109,drama
1109,romance
1110,action
1110,adventure
1110,drama
1111,comedy
1112,crime
1112,drama
1112,romance
1113,horror
1113,thriller
1114,comedy
1114,drama
1114,family
1115,comedy
1115,romance
1116,thriller
1117,comedy
1118,comedy
1119,drama
1120,drama
1120,fantasy
1120,horror
1121,drama
1122,comedy
1122,family
1122,romance
1123,drama
1124,drama
1125,drama
1125,romance
1126,drama
1127,comedy
1127,mystery
1128,comedy
1129,drama
1130,crime
1130,drama
1130,film-noir
1131,biography
1131,drama
1132,drama
1132,romance
1133,comedy
1133,drama
1134,comedy
1134,drama
1134,romance
1135,comedy
1135,romance
1136,comedy
1137,drama
1137,romance
1138,drama
1139,drama
1140,adventure
1140,drama
1140,romance
1141,drama
1142,mystery
1143,crime
1143,drama
1143,romance
1144,comedy
1144,drama
1145,drama
1145,history
1146,action
1146,crime
1146,drama
1147,romance
1148,drama
1148,romance
1148,war
1149,drama
1150,comedy
1150,romance
1151,comedy
1152,drama
1153,comedy
1153,crime
1154,drama
1154,history
1154,romance
1155,drama
1156,action
1156,drama
1156,romance
1157,comedy
1157,crime
1158,drama
1160,drama
1160,romance
1160,war
1161,comedy
1161,drama
1161,romance
1162,short
1163,drama
1163,horror
1163,mystery
1164,drama
1165,action
1165,crime
1165,drama
1166,drama
1166,music
1166,romance
1167,drama
1168,drama
1168,romance
1169,action
1169,adventure
1169,drama
1170,drama
1171,drama
1172,drama
1173,biography
1173,drama
1173,history
1174,drama
1174,history
1174,thriller
1175,comedy
1175,drama
1175,romance
1176,comedy
1176,romance
1177,drama
1177,fantasy
1177,short
1178,drama
1178,war
1179,crime
1179,drama
1179,film-noir
1180,drama
1180,romance
1181,action
1181,adventure
1181,crime
1182,drama
1182,history
1183,drama
1183,romance
1184,action
1184,adventure
1184,drama
1185,drama
1186,drama
1187,drama
1188,drama
1189,drama
1190,drama
1191,drama
1191,romance
1192,drama
1192,history
1192,romance
1193,drama
1193,romance
1193,war
1194,comedy
1194,romance
1195,documentary
1196,drama
1196,musical
1197,drama
1198,action
1198,comedy
1198,family
1199,romance
1199,thriller
1200,comedy
1200,romance
1201,action
1201,comedy
1201,drama
1202,animation
1202,comedy
1202,family
1203,drama
1204,drama
1205,action
1205,adventure
1205,drama
1206,animation
1206,comedy
1206,short
1207,comedy
1207,crime
1207,drama
1208,comedy
1208,drama
1209,drama
1209,romance
1210,drama
1210,romance
1211,drama
1212,drama
1214,action
1214,drama
1214,history
1215,comedy
1215,family
1215,short
1216,drama
1217,comedy
1217,drama
1218,drama
1218,thriller
1219,adventure
1219,history
1220,drama
1222,drama
1222,mystery
1223,drama
1223,romance
1224,comedy
1225,western
1226,drama
1226,romance
1226,thriller
1227,drama
1228,drama
1229,drama
1230,drama
1230,romance
1231,drama
1232,drama
1232,fantasy
1235,comedy
1236,comedy
1236,short
1237,drama
1237,romance
1238,drama
1238,war
1239,crime
1239,drama
1239,romance
1240,drama
1240,history
1242,crime
1242,thriller
1243,animation
1243,comedy
1243,family
1244,drama
1245,comedy
1246,drama
1247,comedy
1247,drama
1247,musical
1249,adventure
1249,drama
1250,mystery
1250,romance
1250,thriller
1251,documentary
1251,music
1252,drama
1253,adventure
1253,comedy
1253,musical
1254,drama
1255,drama
1255,romance
1256,drama
1258,drama
1258,history
1258,romance
1260,documentary
1261,drama
1262,drama
1262,romance
1263,crime
1263,drama
1263,romance
1264,comedy
1265,adventure
1265,comedy
1265,drama
1266,adventure
1266,comedy
1266,drama
1267,drama
1269,drama
1270,drama
1270,romance
1271,drama
1271,musical
1271,romance
1272,action
1272,crime
1273,drama
1273,musical
1276,western
1277,comedy
1277,music
1278,comedy
1278,musical
1279,drama
1281,adventure
1281,drama
1281,history
1282,comedy
1282,drama
1282,music
1283,action
1283,adventure
1283,romance
1285,drama
1285,romance
1286,comedy
1287,drama
1288,drama
1288,horror
1288,romance
1289,horror
1289,mystery
1289,thriller
1290,drama
1291,romance
1292,adventure
1293,comedy
1293,musical
1293,romance
1294,comedy
1295,comedy
1295,drama
1295,musical
1296,drama
1296,romance
1297,drama
1298,drama
1298,romance
1299,drama
1299,musical
1299,romance
1300,musical
1301,documentary
1301,short
1302,comedy
1302,drama
1302,musical
1303,comedy
1303,family
1303,short
1304,comedy
1304,drama
1304,romance
1305,drama
1306,drama
1306,romance
1307,sci-fi
1308,adventure
1309,crime
1309,romance
1309,thriller
1310,adventure
1310,romance
1310,sci-fi
1311,drama
1312,romance
